dataset,YOLO12n 1088px,YOLO12n 640px,baseline
mva23_val,0.612914485165794,0.2792321116928447,0.8342059336823735
skb_test,0.3454449710373881,0.3459715639810427,0.8193786203264877
vid1,0.12990196078431374,0.06862745098039216,0.7843137254901961
