dataset,YOLO12n 1088px,YOLO12n 640px,baseline
mva23_val,0.021640488656195462,0.002443280977312391,0.027225130890052355
skb_test,0.020010531858873092,0.00421274354923644,0.00421274354923644
vid1,0.0024509803921568627,0.0,0.0
