dataset,YOLO12n 1088px,YOLO12n 640px,baseline
mva23_val,0.5351513824025251,0.20930544174508858,0.7799118563433157
skb_test,0.1085887914721215,0.11886470708992691,0.2850816252484899
vid1,0.04073470598677468,0.008950140921816506,0.5421023588612269
